architecture,optimal_k,task,implant_type,model_type,accuracy
DINOv3 ViT Base,35.184097629075346,doorway,6_20,streaky,0.917676111111111
DINOv3 ViT Base,35.184097629075346,doorway,9_10,pointy,0.7577305208333333
DINOv3 ViT Base,35.184097629075346,doorway,9_10,streaky,0.8940877083333334
ResNet18,8.745150390553658,doorway,12_10,pointy,0.8560125
ResNet18,8.745150390553658,doorway,12_10,streaky,0.8593207638888888
ResNet18,8.745150390553658,doorway,12_20,pointy,0.8046548263888889
ResNet18,8.745150390553658,doorway,12_20,streaky,0.8075054513888889
ResNet18,8.745150390553658,doorway,6_10,pointy,0.8830152777777778
ResNet18,8.745150390553658,doorway,6_10,streaky,0.8807590277777779
ResNet18,8.745150390553658,doorway,6_15,pointy,0.8341438541666667
ResNet18,8.745150390553658,doorway,6_15,streaky,0.8300219791666666
ResNet18,8.745150390553658,doorway,6_20,pointy,0.8372793055555554
ResNet18,8.745150390553658,doorway,6_20,streaky,0.8268185069444444
ResNet18,8.745150390553658,doorway,9_10,pointy,0.8654658333333334
ResNet18,8.745150390553658,doorway,9_10,streaky,0.8607736111111113
ResNet50,9.475538269931953,doorway,12_10,pointy,0.8658053125
ResNet50,9.475538269931953,doorway,12_10,streaky,0.8670006597222221
ResNet50,9.475538269931953,doorway,12_20,pointy,0.80988
ResNet50,9.475538269931953,doorway,12_20,streaky,0.8153093402777778
ResNet50,9.475538269931953,doorway,6_10,pointy,0.8887175694444445
ResNet50,9.475538269931953,doorway,6_10,streaky,0.885780798611111
ResNet50,9.475538269931953,doorway,6_15,pointy,0.8192868750000001
ResNet50,9.475538269931953,doorway,6_15,streaky,0.8314104513888889
ResNet50,9.475538269931953,doorway,6_20,pointy,0.8129496875000001
ResNet50,9.475538269931953,doorway,6_20,streaky,0.8110878125
ResNet50,9.475538269931953,doorway,9_10,pointy,0.8652101388888889
ResNet50,9.475538269931953,doorway,9_10,streaky,0.8606870138888889
VGG11,11.398263057811704,doorway,12_10,pointy,0.8638316319444446
VGG11,11.398263057811704,doorway,12_10,streaky,0.8714585069444445
VGG11,11.398263057811704,doorway,12_20,pointy,0.8078139236111112
VGG11,11.398263057811704,doorway,12_20,streaky,0.8358458333333333
VGG11,11.398263057811704,doorway,6_10,pointy,0.8667411805555556
VGG11,11.398263057811704,doorway,6_10,streaky,0.8549359375
VGG11,11.398263057811704,doorway,6_15,pointy,0.8217397222222222
VGG11,11.398263057811704,doorway,6_15,streaky,0.8264950347222222
VGG11,11.398263057811704,doorway,6_20,pointy,0.8162294097222222
VGG11,11.398263057811704,doorway,6_20,streaky,0.836930173611111
VGG11,11.398263057811704,doorway,9_10,pointy,0.8734372569444444
VGG11,11.398263057811704,doorway,9_10,streaky,0.8595358333333334
VGG13,11.750981440896886,doorway,12_10,pointy,0.8577093402777777
VGG13,11.750981440896886,doorway,12_10,streaky,0.8547187152777778
VGG13,11.750981440896886,doorway,12_20,pointy,0.8356872916666667
VGG13,11.750981440896886,doorway,12_20,streaky,0.8469875
VGG13,11.750981440896886,doorway,6_10,pointy,0.8749188541666667
VGG13,11.750981440896886,doorway,6_10,streaky,0.8946799305555555
VGG13,11.750981440896886,doorway,6_15,pointy,0.8008883680555556
VGG13,11.750981440896886,doorway,6_15,streaky,0.8334197569444444
VGG13,11.750981440896886,doorway,6_20,pointy,0.8307881944444444
VGG13,11.750981440896886,doorway,6_20,streaky,0.80907125
VGG13,11.750981440896886,doorway,9_10,pointy,0.8803467013888888
VGG13,11.750981440896886,doorway,9_10,streaky,0.8189713541666667
VGG16,11.950256143303198,doorway,12_10,pointy,0.8733959027777779
VGG16,11.950256143303198,doorway,12_10,streaky,0.8112771180555555
VGG16,11.950256143303198,doorway,12_20,pointy,0.8332550347222224
VGG16,11.950256143303198,doorway,12_20,streaky,0.8624004166666666
VGG16,11.950256143303198,doorway,6_10,pointy,0.8569157638888889
VGG16,11.950256143303198,doorway,6_10,streaky,0.8800365625000002
VGG16,11.950256143303198,doorway,6_15,pointy,0.8154673611111111
VGG16,11.950256143303198,doorway,6_15,streaky,0.8228126388888889
VGG16,11.950256143303198,doorway,6_20,pointy,0.7939786458333332
VGG16,11.950256143303198,doorway,6_20,streaky,0.8467985069444446
VGG16,11.950256143303198,doorway,9_10,pointy,0.8749700694444446
VGG16,11.950256143303198,doorway,9_10,streaky,0.859657048611111
VGG19,12.426245233347002,doorway,12_10,pointy,0.8670941666666667
VGG19,12.426245233347002,doorway,12_10,streaky,0.8239034027777778
VGG19,12.426245233347002,doorway,12_20,pointy,0.8371799999999998
VGG19,12.426245233347002,doorway,12_20,streaky,0.8476349305555555
